"4970","Ethel Watts Mumford Grant"
"4971","John Mason"
"2306","Pappity Stampoy"
"2304","R. L. (Robert Lee) Berry"
"2303","Shinran"
"2301","Brainerd Kellogg"
"2300","Alonzo Reed"
"3631","Thaddeus Mason Harris"
"4962","Thomas Keightley"
"4963","Elizabeth McGuire"
"4964","Justus Miles Forman"
"4965","William Garden Blaikie"
"4966","Louisiana Purchase Exposition Commission"
"3635","William Wilberforce"
"2309","John Adye"
"4967","Percy C. (Percy Clough) Ainsworth"
"2308","Lane Cooper"
"4968","Samuel Sidney"
"2307","Ray Woodward"
"3650","Pindar"
"4981","Harriette Brower"
"3649","Lascelles Abercrombie"
"1","United States"
"2316","Mabel Hale"
"3","Abraham Lincoln"
"4","Patrick Henry"
"2313","E. M. (Edith Maude) Hull"
"2312","Lillian Eichler Watson"
"5","Paul Adam"
"2311","Effie Mae Hency Williams"
"7","Lewis Carroll"
"2310","S. B. (Solomon Benjamin) Shaw"
"3641","Lajos Kossuth"
"4972","Clara Morris"
"8","United States. Central Intelligence Agency"
"3642","Edward Law Ellenborough"
"9","Herman Melville"
"4973","Gertrude Bone"
"3643","Cyprian Bridge"
"4974","Robert Derby Holmes"
"3645","John Lingard"
"4976","Damaris Masham"
"4977","Marion Harris Neil"
"3647","J. A. (John Atkinson) Hobson"
"2319","Minnie Lindsay Rowell Carpenter"
"3648","Arthur Schopenhauer"
"4979","L. P. (Louis Pope) Gratacap"
"2318","S. O. Susag"
"3660","John Meade Falkner"
"4992","Boethius"
"3662","Virna Sheard"
"1000","Annie Roe Carr"
"2330","Alexander Maclaren"
"2328","Harvey Jerrold O'Higgins"
"2327","Frank J. Cannon"
"2326","Mary Gladys Meredith Webb"
"2322","Harriet Manning Whitcomb"
"2321","L. de (Lillie de) Hegermann-Lindencrone"
"3652","Jane H. (Jane Hancox) Newell"
"3653","Frank Barrett"
"4984","A. P. Mukerji"
"3655","J. T. (James Thompson) McCleary"
"4986","A. (Auguste) Vimar"
"4987","Clarence Budington Kelland"
"3657","Rufus Merrill"
"4988","Mrs. (Susannah) Gunning"
"3658","Gladys M. Draycott"
"3659","Oliver Spafford"
"2329","Adalbert Stifter"
"3671","James O. Brayman"
"3672","G. (Gaston) Maspero"
"2342","William L. (William Le Roy) Stidger"
"1011","Meyer Moldeven"
"1010","William Kirby"
"2341","George Parsons Lathrop"
"2339","Sauk chief Black Hawk"
"2338","E. A. Wallis (Ernest Alfred Wallis) Budge"
"1007","Harold Howland"
"1006","Herman Bernstein"
"2337","Eva Stern"
"2336","Isabel Meredith"
"2334","Rupert Hughes"
"1002","George McKinnon Wrong"
"2333","G. W. (George William) Foote"
"1001","Eleanor Atkinson"
"2332","Sarah Bernhardt"
"3663","E. L. (Edward Lloyd) Lomax"
"4995","William Francis Barnard"
"3665","Douglas Rushkoff"
"4996","Mary Catherine Crowley"
"3667","Bradford Torrey"
"3668","Joseph Morris"
"3680","Sara Davis Jenkins"
"3681","Grace Denio Litchfield"
"3682","Mary H. (Mary Henderson) Eastman"
"3683","John R. (John Rogers) Bolles"
"1022","Margaret Penrose"
"2353","Richard Crawley"
"2352","Thucydides"
"2351","John Alexander Logan"
"2350","J. Morris (Josiah Morris) Slemons"
"1017","Clara Louise Burnham"
"2348","Alexander Morris"
"1016","Ford Madox Ford"
"1015","John McElroy"
"2345","Thomas Cowherd"
"2343","Stuart J. (Stuart Johnson) Reid"
"3674","Charles Wilkes"
"3675","John Maurice Miller"
"3676","Hiram Bingham"
"3677","Thomas E. Willson"
"3690","Consumers' League of New York City"
"3691","University of Oxford. Faculty of Modern History"
"3693","Samuel Woodworth Cozzens"
"3694","Christian Brothers"
"3695","Mary Stuart Boyd"
"2364","Ian Maclaren"
"1033","Evelyn S. (Evelyn Shirley) Shuckburgh"
"1032","G. A. (George Alfred) Henty"
"1031","Abraham Cahan"
"2362","Frank Preston Stearns"
"1030","Helen Hunt Jackson"
"2360","Aubrey De Vere"
"1029","James Harrington"
"2359","Ernest Favenc"
"1027","Alfred Ollivant"
"2358","Giuseppe Garibaldi"
"1026","Thomas Roscoe"
"2357","Henry Kirke White"
"2356","August Wilhelm von Schlegel"
"1024","Joseph Addison"
"2355","John H. (John Huston) Finley"
"3686","Robert Burton"
"3687","Eliza Fowler Haywood"
"3688","David Daggett"
"1041","Marshall Saunders"
"1040","Tommaso Campanella"
"2370","Roy Benson"
"1039","James Joyce"
"1036","the Younger Pliny"
"2367","Annie Gregg Savigny"
"1035","George Washington Plunkitt"
"2366","Edward Wilson Landor"
"1034","Hamlin Garland"
"2365","Samuel Lover"
"3696","Gustavo Adolfo Bécquer"
"3697","James D. (James Daniel) Richardson"
"3698","Alfred Crowquill"
"3699","James Inglis"
"1055","Melville Davisson Post"
"2386","Sarah Anne Curzon"
"1054","Philip Nichols"
"2385","Henry Thomas Hamblin"
"1053","Jeremiah Curtin"
"2384","Leader Scott"
"1052","Henryk Sienkiewicz"
"1051","William Whiston"
"1050","Flavius Josephus"
"1049","Heinrich Heine"
"1047","Oscar D. (Oscar Douglas) Skelton"
"2376","Knut Hamsun"
"1045","Friedrich Heinrich Karl La Motte-Fouqué"
"25741","Henrietta Vaders"
"1066","Walter L. (Walter Lynwood) Fleming"
"2397","Harlan Ullman"
"2396","Edwin Lawrence Godkin"
"1065","Franklin Hichborn"
"25743","John Glover"
"25742","William George Clark"
"2394","Annie Russell Marble"
"1062","F. W. (Frederic William) Moorman"
"1061","Friedrich Hebbel"
"25744","Mack Reynolds"
"2392","J. W. M. Gibbs"
"1060","Carolyn Wells"
"2391","Elizur Wright"
"2390","James W. (James Watson) Gerard"
"36407","James Bramston"
"37738","L. K. (Lemuel Kelley) Washburn"
"36408","F. P. Lock"
"37739","David E. (David Ernest) Lantz"
"1059","John Lydgate"
"1058","Emory Adams Allen"
"2389","Delia Salter Bacon"
"1057","Fergus Hume"
"2388","Hugo de Vries"
"1056","William Harrison Ainsworth"
"36400","Francis L. Lincoln"
"37731","Sara Beaumont Kennedy"
"36401","William Forbes-Mitchell"
"37732","Arthur MacDonald"
"36402","T. B. (Thomas Belden) Butler"
"36403","Charles Loring Brace"
"37734","Christine Terhune Herrick"
"36404","V. V. Vide"
"37735","Frank Waller Allen"
"36405","Lewis R. (Lewis Ransome) Freeman"
"37736","E. J. (Edward John) Hardy"
"36406","P. W. (Patrick Weston) Joyce"
"25759","Lionel Strachey"
"1077","W. B. M. (William Blair Morton) Ferguson"
"1076","Albert Bigelow Paine"
"25754","Frank Herbert"
"1075","Giacomo Casanova"
"1074","May Agnes Fleming"
"25753","Benjamin A. (Benjamin Alexander) Heydrick"
"1073","Octave Thanet"
"25756","Avis A. Burnham Stanwood"
"1071","Ralph Waldo Emerson"
"37727","Vincent Starrett"
"37728","Arthur W. Marchmont"
"37729","Edgar Giberne"
"1069","Johan Bojer"
"2399","Monier Monier-Williams"
"1068","Holland Thompson"
"37720","Alexander Miller Harvey"
"37721","Chester E. (Chester Eugene) Jorgenson"
"37722","William Mason"
"37723","John Morris"
"37724","Sidney Morgan"
"37725","H. P. (Henry Potter) Stevens"
"1080","Henry Festing Jones"
"25727","Lorimer Stoddard"
"25728","Augustus Allen Hayes"
"1088","Frederic Austin Ogg"
"25720","R. A. Lafferty"
"1085","Willis George Emerson"
"1084","Allen Johnson"
"25722","Charles Fenno Hoffman"
"1083","Janis Ian"
"25725","Edwin Lefevre"
"25724","Fitz Hugh Ludlow"
"37719","William H. Nash"
"1079","Philip Dwight Jones"
"1078","Francis Pretty"
"37710","Elise Lathrop"
"37711","T.N. Hibben & Co."
"37713","Daniel J. MacDonald"
"37714","William Wallace Bass"
"37715","E. Gertrude (Emily Gertrude) Thomson"
"25738","Charles H. Stephens"
"1091","Robert Frost"
"1090","Dorothy M. (Dorothy Miller) Richardson"
"25739","L. Evans"
"1099","James Elroy Flecker"
"1098","Samuel Peter Orth"
"1097","Burton Jesse Hendrick"
"25732","Helen M. Urban"
"25731","Edmund Flagg"
"1096","John Moody"
"1095","Jesse Macy"
"1094","Emerson Hough"
"25733","Arthur Charles Fox-Davies"
"1093","Max Farrand"
"1092","Lucretia P. (Lucretia Peabody) Hale"
"37705","Frank Moore"
"37706","George Fitzhugh"
"37707","W. H. P. (William Henry Pope) Jarvis"
"37708","Frank McKernan"
"37709","Alexander Agassiz"
"37700","Adam Szymański"
"37701","Wacław Sieroszewski"
"37702","Juliusz Kaden-Bandrowski"
"37703","Zofia Nałkowska"
"25707","George Barton Cutten"
"25709","C. C. MacApp"
"25700","Robert Barnes"
"25702","P. C. (Peter Charles) Remondino"
"25715","John Ludlum McConnel"
"25718","Larry T. Shaw"
"25717","Harriet L. (Harriet Lummis) Smith"
"25719","William Carroll"
"25710","Ed M. Clinton"
"25712","Will Mohler"
"25711","Frank Banta"
"25714","Walter S. Tevis"
"25713","John Sillars"
"36360","Arthur Compton-Rickett"
"37692","Loretta Ellen Brady"
