"1","The Declaration of Independence of the United States of America"
"","The King James Version of the Bible"
"100","The Complete Works of William Shakespeare"
"10000","The Magna Carta"
"10001","Apocolocyntosis"
"10002","The House on the Borderland"
"10003","My First Years as a Frenchwoman, 1876-1879"
"10004","The Warriors"
"10005","A Voyage to the Moon"
"10006","La Fiammetta"
"10007","Carmilla"
"10008","The Mystery"
"10009","Wild Northern Scenes"
"1001","Divine Comedy, Longfellow's Translation, Hell"
"10010","The Eulogies of Howard: A Vision"
"10011","365 Foreign Dishes"
"10012","The Mountains of California"
"10013","Punchinello, Volume 1, No. 09, May 28, 1870"
"10014","Punchinello, Volume 1, No. 18, July 30, 1870"
"10015","Punchinello, Volume 1, No. 19, August 6, 1870"
"10016","Punchinello, Volume 1, No. 21, August 20, 1870"
"10017","Punchinello, Volume 1, No. 23,  September 3, 1870"
"10018","Punchinello, Volume 1, No. 05,  April 30, 1870"
"10019","Punchinello, Volume 1, No. 22, August 27, 1870"
"1002","Divine Comedy, Longfellow's Translation, Purgatory"
"10020","The Strand Magazine: Vol. 07, Issue 37, January, 1894."
"10021","Tenterhooks"
"10022","White Queen of the Cannibals: the Story of Mary Slessor of Calabar"
"10023","There's Pippins and Cheese to Come"
"10024","Beneath the Banner: Being Narratives of Noble Lives and Brave Deeds"
"10025","Gaslight Sonatas"
"10026","The Mirror of Literature, Amusement, and Instruction"
"10027","The Triple Alliance, Its Trials and Triumphs"
"10028","Spalding's Official Baseball Guide - 1913"
"10029","The Hunt Ball Mystery"
"1003","Divine Comedy, Longfellow's Translation, Paradise"
"10030","The Life of Hon. William F. Cody, Known as Buffalo Bill, the Famous Hunter, Scout and Guide"
"10031","The Complete Poetical Works of Edgar Allan Poe"
"10032","Punchinello, Volume 1, No. 24, September 10, 1870"
"10033","Punchinello, Volume 1, No. 25, September 17, 1870"
"10034","Punchinello, Volume 1, No. 26, September 24, 1870"
"10035","Punchinello, Volume 2, No. 27, October 1, 1870"
"10036","Punchinello, Volume 2, No. 28, October 8, 1870"
"10037","A Beautiful Possibility"
"10038","The Magnetic North"
"10039","The Works of Aphra Behn, Volume III"
"1004","Divine Comedy, Longfellow's Translation, Complete"
"10040","Aleutian Indian and English Dictionary"
"10041","The Rivet in Grandfather's Neck: A Comedy of Limitations"
"10042","The Child under Eight"
"10043","Klondyke Nuggets"
"10044","The Father of British Canada: a Chronicle of Carleton"
"10045","Dave Darrin's Second Year at Annapolis"
"10046","Salute to Adventurers"
"10047","Punchinello, Volume 2, No. 29, October 15, 1870"
"10048","Billie Bradley and Her Inheritance; Or, The Queer Homestead at Cherry Corners"
"10049","Old Lady Mary: A Story of the Seen and the Unseen"
"1005","Divine Comedy, Cary's Translation, Hell"
"10050","A Little Pilgrim: Stories of the Seen and the Unseen"
"10051","The Little Pilgrim: Further Experiences."
"10052","The Open Door, and the Portrait."
"10056","Chinese Literature"
"10057","The Secret of the Tower"
"10058","The Divine Office"
"10059","Aunt Jane's Nieces on Vacation"
"1006","Divine Comedy, Cary's Translation, Purgatory"
"10060","Discourses: Biological & Geological"
"10062","The Iron Game"
"10063","Happiness and Marriage"
"10064","Beltane the Smith"
"10065","The Constitution of the United States"
"10066","Gunman's Reckoning"
